config,judge,topic,method,n,groundedness,evidence_support_rate,mssr,citation_coverage,high_trust_citation_rate,response_utility,anchor_utilization_rate,avg_s_trust_at_k,top3_avg_s_trust,high_trust_ratio,trust_weighted_claim_support,backbone_trust_rate,backbone_avg_claim_trust,backbone_support_rate,backbone_claim_count
anchor_no_support,gpt4o,voting_rights_and_voter_fraud,trustrag_anchor,5,0.79,0.5033,0.5033,0.6283,0.4183,0.74,0.7606,0.738,0.7343,0.54,0.4216,0.46,0.7083,0.6,2.8
tau_anchor_0.70,gpt4o,abortion,trustrag_anchor,5,0.74,1.0,0.9,0.58,0.9314,0.67,0.6543,0.813,0.8503,0.86,0.8233,0.9314,0.8233,1.0,2.0
tau_anchor_0.70,gpt4o,climate_change,trustrag_anchor,5,0.81,0.7333,0.6667,0.7333,0.6267,0.76,0.6567,0.7672,0.7698,0.72,0.5888,0.5933,0.7524,0.7833,2.6
tau_anchor_0.70,gpt4o,economy_jobs,trustrag_anchor,5,0.7,0.7167,0.7167,0.5933,0.55,0.65,0.6286,0.7739,0.778,0.62,0.6099,0.5443,0.7551,0.8,2.4
tau_anchor_0.70,gpt4o,free_speech,trustrag_anchor,5,0.81,0.6267,0.6267,0.6429,0.7467,0.76,0.6867,0.7753,0.7619,0.72,0.5061,0.8133,0.7733,0.6667,3.0
tau_anchor_0.70,gpt4o,gun_control,trustrag_anchor,5,0.79,0.5167,0.7,0.5876,0.719,0.73,0.6862,0.7774,0.7835,0.68,0.4167,0.7476,0.7765,0.5333,2.4
tau_anchor_0.70,gpt4o,immigration,trustrag_anchor,5,0.66,0.75,0.95,0.54,0.6829,0.58,0.9314,0.7536,0.755,0.78,0.6705,0.7095,0.7456,0.9,2.0
tau_anchor_0.70,gpt4o,voting_rights_and_voter_fraud,trustrag_anchor,5,0.81,0.5,0.5,0.621,0.3583,0.78,0.7417,0.738,0.7343,0.54,0.3671,0.3367,0.6958,0.5333,2.6
tau_anchor_0.85,gpt4o,abortion,trustrag_anchor,5,0.43,1.0,0.9333,0.7,0.9314,0.4,0.6443,0.813,0.8503,0.86,0.8169,0.9314,0.8169,1.0,2.2
tau_anchor_0.85,gpt4o,climate_change,trustrag_anchor,5,0.85,0.66,0.66,0.7262,0.6667,0.8,0.7167,0.7672,0.7698,0.72,0.5509,0.6333,0.7535,0.7333,2.8
tau_anchor_0.85,gpt4o,economy_jobs,trustrag_anchor,5,0.71,0.6833,0.75,0.6543,0.6533,0.66,0.58,0.7739,0.778,0.62,0.5697,0.66,0.7667,0.7333,3.0
tau_anchor_0.85,gpt4o,free_speech,trustrag_anchor,5,0.85,0.92,0.87,0.6176,0.6133,0.8,0.8033,0.7753,0.7619,0.72,0.725,0.5667,0.7518,0.9667,3.0
tau_anchor_0.85,gpt4o,gun_control,trustrag_anchor,5,0.77,0.6667,0.7333,0.52,0.6619,0.68,0.6857,0.7774,0.7835,0.68,0.5273,0.6619,0.7753,0.6667,2.2
tau_anchor_0.85,gpt4o,immigration,trustrag_anchor,5,0.74,0.9333,0.9333,0.6643,0.6929,0.67,0.9214,0.7536,0.755,0.78,0.6968,0.7262,0.7456,0.9333,2.2
tau_anchor_0.85,gpt4o,voting_rights_and_voter_fraud,trustrag_anchor,5,0.79,0.4333,0.4833,0.5167,0.3809,0.74,0.6048,0.738,0.7343,0.54,0.3361,0.3867,0.5688,0.4667,2.2
