config,judge,topic,method,n,groundedness,evidence_support_rate,mssr,citation_coverage,high_trust_citation_rate,response_utility,anchor_utilization_rate,avg_s_trust_at_k,top3_avg_s_trust,high_trust_ratio,trust_weighted_claim_support,backbone_trust_rate,backbone_avg_claim_trust,backbone_support_rate,backbone_claim_count
rho_1.0,claude,economy_jobs,trustrag_anchor,5,0.528,0.8,0.8,0.5733,0.75,0.47,0.4583,0.783,0.7858,0.72,0.6378,0.75,0.786,0.8,2.2
rho_1.0,claude,free_speech,trustrag_anchor,5,0.716,0.8667,0.8667,0.75,0.6809,0.626,0.6333,0.7691,0.7671,0.68,0.657,0.66,0.7595,0.8667,3.0
rho_1.0,claude,gun_control,trustrag_anchor,5,0.598,0.7167,0.7167,0.66,0.7214,0.54,0.4224,0.8033,0.7906,0.78,0.5919,0.7214,0.7934,0.7667,2.4
rho_1.0,claude,immigration,trustrag_anchor,5,0.708,0.86,0.86,0.585,0.6212,0.554,0.6993,0.7483,0.749,0.7,0.6686,0.6429,0.7441,0.9,2.4
rho_1.0,claude,voting_rights_and_voter_fraud,trustrag_anchor,5,0.528,0.65,0.65,0.7233,0.3079,0.526,0.6441,0.7494,0.7552,0.52,0.422,0.2524,0.6948,0.6,3.0
rho_0.6,claude,abortion,trustrag_anchor,5,0.618,1.0,1.0,0.6333,0.91,0.48,0.92,0.7978,0.8503,0.86,0.8112,0.8933,0.8112,1.0,2.2
rho_0.6,claude,climate_change,trustrag_anchor,5,0.638,0.8167,0.8167,0.6733,0.7267,0.59,0.63,0.7658,0.7667,0.68,0.6037,0.7,0.758,0.8,2.6
rho_0.6,claude,economy_jobs,trustrag_anchor,5,0.59,0.5667,0.5667,0.6,0.5595,0.48,0.8,0.7583,0.7426,0.5,0.4511,0.5595,0.7549,0.6,2.4
rho_0.6,claude,free_speech,trustrag_anchor,5,0.656,0.7867,0.7867,0.5845,0.6914,0.646,0.86,0.7795,0.7619,0.78,0.6089,0.7033,0.7634,0.8,3.0
rho_0.6,claude,gun_control,trustrag_anchor,5,0.648,0.7333,0.6667,0.6476,0.6571,0.54,0.8933,0.7634,0.7934,0.6,0.5347,0.6809,0.774,0.7,2.4
rho_0.6,claude,immigration,trustrag_anchor,5,0.738,0.8667,0.8667,0.6867,0.8214,0.54,1.0,0.756,0.755,0.84,0.6507,0.8548,0.7514,0.8667,2.2
rho_0.6,claude,voting_rights_and_voter_fraud,trustrag_anchor,5,0.45,0.4,0.3333,0.65,0.46,0.5,0.975,0.742,0.7343,0.58,0.2748,0.4767,0.7125,0.4,3.0
gamma_0.5,claude,abortion,trustrag_anchor,5,0.698,0.8667,0.8667,0.65,0.9314,0.5,0.6943,0.813,0.8503,0.86,0.7016,0.9314,0.8171,0.8667,2.2
gamma_0.5,claude,climate_change,trustrag_anchor,5,0.568,0.7267,0.7267,0.7262,0.71,0.54,0.69,0.7672,0.7698,0.72,0.58,0.6767,0.757,0.7667,2.8
gamma_0.5,claude,economy_jobs,trustrag_anchor,5,0.47,0.65,0.65,0.6343,0.61,0.48,0.6133,0.7739,0.778,0.62,0.5203,0.66,0.7691,0.6667,3.0
gamma_0.5,claude,free_speech,trustrag_anchor,5,0.724,0.7033,0.7033,0.6345,0.7064,0.674,0.7743,0.7753,0.7619,0.72,0.6112,0.7,0.7643,0.8,3.0
gamma_0.5,claude,gun_control,trustrag_anchor,5,0.568,0.7,0.7,0.6167,0.6726,0.536,0.6798,0.7774,0.7835,0.68,0.5455,0.6476,0.7754,0.7,2.4
gamma_0.5,claude,immigration,trustrag_anchor,5,0.694,0.8167,0.8167,0.71,0.7071,0.536,0.9214,0.7536,0.755,0.78,0.5941,0.7262,0.7456,0.8,2.2
gamma_0.5,claude,voting_rights_and_voter_fraud,trustrag_anchor,5,0.524,0.4933,0.4933,0.6117,0.4443,0.57,0.6732,0.738,0.7343,0.54,0.3778,0.4833,0.7128,0.5333,2.8
gamma_0.8,claude,abortion,trustrag_anchor,5,0.574,0.9333,0.9333,0.65,0.9314,0.41,0.7143,0.813,0.8503,0.86,0.7602,0.9314,0.8183,0.9333,2.2
gamma_0.8,claude,climate_change,trustrag_anchor,5,0.634,0.5,0.5,0.7167,0.76,0.596,0.76,0.7672,0.7698,0.72,0.3547,0.76,0.7654,0.4667,2.8
gamma_0.8,claude,economy_jobs,trustrag_anchor,5,0.474,0.6333,0.6333,0.65,0.5143,0.466,0.5857,0.7739,0.778,0.62,0.5187,0.5367,0.7561,0.6667,2.8
gamma_0.8,claude,free_speech,trustrag_anchor,5,0.622,0.6667,0.6667,0.6967,0.68,0.622,0.78,0.7753,0.7619,0.72,0.4605,0.7833,0.7811,0.6,3.0
gamma_0.8,claude,gun_control,trustrag_anchor,5,0.618,0.6667,0.6667,0.64,0.7286,0.476,0.7243,0.7774,0.7835,0.68,0.522,0.7286,0.7746,0.6667,2.2
gamma_0.8,claude,immigration,trustrag_anchor,5,0.716,0.7667,0.4667,0.5809,0.6929,0.534,0.9714,0.7536,0.755,0.78,0.5695,0.7262,0.7456,0.7667,2.0
gamma_0.8,claude,voting_rights_and_voter_fraud,trustrag_anchor,5,0.534,0.5833,0.5833,0.6,0.4276,0.57,0.651,0.738,0.7343,0.54,0.4067,0.4333,0.7157,0.5667,3.0
anchor_relevance_heavy,claude,abortion,trustrag_anchor,5,0.604,0.7333,0.7333,0.6,0.9381,0.45,0.7143,0.813,0.8503,0.86,0.5933,0.9381,0.8199,0.7333,2.2
anchor_relevance_heavy,claude,climate_change,trustrag_anchor,5,0.544,0.5133,0.5133,0.7262,0.7167,0.53,0.7167,0.7672,0.7698,0.72,0.4237,0.6833,0.7575,0.5667,2.6
anchor_relevance_heavy,claude,economy_jobs,trustrag_anchor,5,0.632,0.7167,0.7167,0.6319,0.5771,0.596,0.6791,0.7739,0.778,0.62,0.5745,0.63,0.7675,0.7333,3.0
anchor_relevance_heavy,claude,free_speech,trustrag_anchor,5,0.646,0.6667,0.6667,0.6091,0.7433,0.61,0.6867,0.7753,0.7619,0.72,0.557,0.7,0.7634,0.7333,2.8
anchor_relevance_heavy,claude,gun_control,trustrag_anchor,5,0.618,0.7833,0.7833,0.6167,0.669,0.51,0.7243,0.7774,0.7835,0.68,0.6694,0.6619,0.7715,0.8667,2.2
anchor_relevance_heavy,claude,immigration,trustrag_anchor,5,0.754,1.0,1.0,0.6033,0.7129,0.576,0.9214,0.7536,0.755,0.78,0.7456,0.7262,0.7456,1.0,2.2
anchor_relevance_heavy,claude,voting_rights_and_voter_fraud,trustrag_anchor,5,0.544,0.5,0.5,0.5833,0.3943,0.536,0.701,0.738,0.7343,0.54,0.3531,0.4,0.6993,0.5,2.8
anchor_support_heavy,claude,abortion,trustrag_anchor,5,0.664,0.8,0.8667,0.59,0.9314,0.47,0.6443,0.813,0.8503,0.86,0.6474,0.9314,0.8169,0.8,2.2
anchor_support_heavy,claude,climate_change,trustrag_anchor,5,0.564,0.6467,0.6467,0.7362,0.7767,0.57,0.7067,0.7672,0.7698,0.72,0.5005,0.7433,0.7621,0.6667,2.8
anchor_support_heavy,claude,economy_jobs,trustrag_anchor,5,0.658,0.7167,0.7167,0.6367,0.6386,0.546,0.6048,0.7739,0.778,0.62,0.6214,0.6176,0.7677,0.8,2.6
anchor_support_heavy,claude,free_speech,trustrag_anchor,5,0.712,0.5933,0.5933,0.655,0.6517,0.642,0.7267,0.7753,0.7619,0.72,0.5078,0.7,0.7628,0.6667,3.0
anchor_support_heavy,claude,gun_control,trustrag_anchor,5,0.598,0.6333,0.6333,0.6243,0.7607,0.486,0.7143,0.7774,0.7835,0.68,0.5403,0.7857,0.7971,0.6667,2.2
anchor_support_heavy,claude,immigration,trustrag_anchor,5,0.674,0.8667,0.8667,0.6629,0.6929,0.51,0.9214,0.7536,0.755,0.78,0.6464,0.7262,0.7456,0.8667,2.2
anchor_support_heavy,claude,voting_rights_and_voter_fraud,trustrag_anchor,5,0.508,0.4833,0.4833,0.6467,0.4417,0.532,0.6483,0.738,0.7343,0.54,0.3754,0.4633,0.7135,0.5333,2.8
anchor_no_support,claude,abortion,trustrag_anchor,5,0.634,0.7333,0.9333,0.6433,0.9314,0.49,0.7276,0.813,0.8503,0.86,0.5991,0.9314,0.8137,0.7333,2.0
anchor_no_support,claude,climate_change,trustrag_anchor,5,0.584,0.6167,0.6167,0.7033,0.81,0.55,0.6067,0.7672,0.7698,0.72,0.4537,0.81,0.7701,0.6,3.0
anchor_no_support,claude,economy_jobs,trustrag_anchor,5,0.678,1.0,0.96,0.5811,0.6186,0.53,0.6619,0.7739,0.778,0.62,0.772,0.6376,0.772,1.0,2.6
anchor_no_support,claude,free_speech,trustrag_anchor,5,0.658,0.6167,0.6167,0.6633,0.6933,0.606,0.6933,0.7753,0.7619,0.72,0.5036,0.7667,0.7668,0.6667,3.0
anchor_no_support,claude,gun_control,trustrag_anchor,5,0.658,0.4333,0.4333,0.5909,0.7071,0.556,0.6957,0.7774,0.7835,0.68,0.3819,0.719,0.7856,0.4667,2.2
anchor_no_support,claude,immigration,trustrag_anchor,5,0.614,0.8667,0.8667,0.6833,0.6929,0.43,0.9214,0.7536,0.755,0.78,0.6464,0.7262,0.7456,0.8667,2.2
anchor_no_support,claude,voting_rights_and_voter_fraud,trustrag_anchor,5,0.504,0.42,0.42,0.6283,0.4183,0.54,0.7606,0.738,0.7343,0.54,0.3061,0.46,0.7083,0.4333,2.8
tau_anchor_0.70,claude,abortion,trustrag_anchor,5,0.644,0.7833,0.7833,0.58,0.9314,0.49,0.6543,0.813,0.8503,0.86,0.6842,0.9314,0.8233,0.8333,2.0
tau_anchor_0.70,claude,climate_change,trustrag_anchor,5,0.702,0.6667,0.6667,0.7333,0.6267,0.636,0.6567,0.7672,0.7698,0.72,0.4973,0.5933,0.7524,0.6667,2.6
tau_anchor_0.70,claude,economy_jobs,trustrag_anchor,5,0.692,0.6167,0.7167,0.5933,0.55,0.536,0.6286,0.7739,0.778,0.62,0.5138,0.5443,0.7551,0.6667,2.4
tau_anchor_0.70,claude,free_speech,trustrag_anchor,5,0.662,0.6267,0.6267,0.6429,0.7467,0.61,0.6867,0.7753,0.7619,0.72,0.5061,0.8133,0.7733,0.6667,3.0
tau_anchor_0.70,claude,gun_control,trustrag_anchor,5,0.494,0.5333,0.5333,0.5876,0.719,0.446,0.6862,0.7774,0.7835,0.68,0.4418,0.7476,0.7765,0.5667,2.4
tau_anchor_0.70,claude,immigration,trustrag_anchor,5,0.724,0.75,0.75,0.54,0.6829,0.49,0.9314,0.7536,0.755,0.78,0.5954,0.7095,0.7456,0.8,2.0
tau_anchor_0.70,claude,voting_rights_and_voter_fraud,trustrag_anchor,5,0.524,0.5,0.5,0.621,0.3583,0.53,0.7417,0.738,0.7343,0.54,0.345,0.3367,0.6958,0.5,2.6
tau_anchor_0.85,claude,abortion,trustrag_anchor,5,0.644,0.8667,0.8,0.7,0.9314,0.5,0.6443,0.813,0.8503,0.86,0.7056,0.9314,0.8169,0.8667,2.2
tau_anchor_0.85,claude,climate_change,trustrag_anchor,5,0.662,0.7267,0.7267,0.7262,0.6667,0.614,0.7167,0.7672,0.7698,0.72,0.5765,0.6333,0.7535,0.7667,2.8
tau_anchor_0.85,claude,economy_jobs,trustrag_anchor,5,0.51,0.6833,0.6167,0.6543,0.6533,0.48,0.58,0.7739,0.778,0.62,0.5224,0.66,0.7667,0.6667,3.0
tau_anchor_0.85,claude,free_speech,trustrag_anchor,5,0.746,0.87,0.87,0.6176,0.6133,0.692,0.8033,0.7753,0.7619,0.72,0.703,0.5667,0.7518,0.9333,3.0
tau_anchor_0.85,claude,gun_control,trustrag_anchor,5,0.634,0.5333,0.5333,0.52,0.6619,0.546,0.6857,0.7774,0.7835,0.68,0.4198,0.6619,0.7753,0.5333,2.2
tau_anchor_0.85,claude,immigration,trustrag_anchor,5,0.704,0.9333,0.9333,0.6643,0.6929,0.49,0.9214,0.7536,0.755,0.78,0.6953,0.7262,0.7456,0.9333,2.2
tau_anchor_0.85,claude,voting_rights_and_voter_fraud,trustrag_anchor,5,0.524,0.5333,0.5333,0.5167,0.3809,0.55,0.6048,0.738,0.7343,0.54,0.3768,0.3867,0.5688,0.5333,2.2
